Country,TradeFlow,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Cambodia,Import,Rice,2016,Unspecified,53280,104000000000,Kg
Cambodia,Import,Rice,2016,"Other Asia, nes",36007,800000,Kg
Cambodia,Import,Rice,2016,China,6668,68441,Kg
Cambodia,Import,Rice,2016,Singapore,4188,73398,Kg
Cambodia,Import,Rice,2016,Japan,3130,16014,Kg
Cambodia,Import,Rice,2016,India,1941,69935,Kg
Cambodia,Import,Rice,2016,Australia,199,4255,Kg
Cambodia,Import,Rice,2016,Italy,127,3877,Kg
Cambodia,Import,Rice,2016,France,48,2019,Kg
Cambodia,Import,Rice,2015, World,1099469,6760000000000,Kg
Cambodia,Import,Rice,2015,Vietnam,857087,5930000000000,Kg
Cambodia,Import,Rice,2015,Thailand,96205,641000000000,Kg
Cambodia,Import,Rice,2015,United States,84613,678934,Kg
Cambodia,Import,Rice,2015,Japan,24880,489369,Kg
Cambodia,Import,Rice,2015,"Other Asia, nes",17982,340000,Kg
Cambodia,Import,Rice,2015,Cambodia,12886,150700,Kg
Cambodia,Import,Rice,2015,Turkey,1922,24000,Kg
Cambodia,Import,Rice,2015,Singapore,1069,82026,Kg
Cambodia,Import,Rice,2015,France,1001,25102,Kg
Cambodia,Import,Rice,2015,India,955,62222,Kg
Cambodia,Import,Rice,2015,Eswatini,596,1128,Kg
Cambodia,Import,Rice,2015,Italy,191,5006,Kg
Cambodia,Import,Rice,2015,Philippines,44,50,Kg
Cambodia,Import,Rice,2015,"Korea, Rep.",36,1728,Kg
Cambodia,Import,Rice,2015,Australia,1,80,Kg
Indonesia,Import,Rice,2024,World,271025530,451942000000000,Kg
Indonesia,Import,Rice,2024,Thailand,86278080,136423000000000,Kg
Indonesia,Import,Rice,2024,Vietnam,75285965,124824000000000,Kg
Indonesia,Import,Rice,2024,Myanmar,48076624,83137900000000,Kg
Indonesia,Import,Rice,2024,Pakistan,47241047,80384500000000,Kg
Indonesia,Import,Rice,2024,India,12454155,24658700000000,Kg
Indonesia,Import,Rice,2024,Cambodia,1625000,250000000,Kg
Indonesia,Import,Rice,2024,China,38571,19309,Kg
Indonesia,Import,Rice,2024,Japan,25653,100747,Kg
Indonesia,Import,Rice,2024,Singapore,97,230454,Kg
Indonesia,Import,Rice,2024,"Other Asia, nes",94,4510,Kg
Indonesia,Import,Rice,2024,"Korea, Rep.",89,161,Kg
Indonesia,Import,Rice,2024,Malaysia,58,658,Kg
Indonesia,Import,Rice,2024,Saudi Arabia,51,1696,Kg
Indonesia,Import,Rice,2024,"Hong Kong, China",27,1134,Kg
Indonesia,Import,Rice,2024,United Arab Emirates,14,1222,Kg
Indonesia,Import,Rice,2024,Kuwait,2,158,Kg
Indonesia,Import,Rice,2024,Australia,1,1,Kg
Indonesia,Import,Rice,2024,Oman,1,120,Kg
Indonesia,Import,Rice,2024,United States,1,23,Kg
Indonesia,Import,Rice,2024,Qatar,0,60,Kg
Indonesia,Import,Rice,2023, World,178902388,306286000000000,Kg
Indonesia,Import,Rice,2023,Thailand,80481584,138192000000000,Kg
